npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:8080
 HTTP  2/23/2026 2:06:26 AM ::1 GET /dashboard.html
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 301 in 263 ms
 HTTP  2/23/2026 2:06:26 AM ::1 GET /dashboard
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 6 ms
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 5 ms
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/b9973c9b78e36950.css
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/7c0173a9589723f2.css
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/dba0cb862d188ddd.js
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 9 ms
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/f03a946546196e78.js
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/322fc8520f3e0aa7.js
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 6 ms
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/4329ba2c65a97c8d.js
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 6 ms
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 6 ms
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 11 ms
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 8 ms
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/5c2b355ca0ecf609.js
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/d6080f41951f9237.js
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/turbopack-ab0e4021c55be00b.js
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/6b128d13ca1b1ea2.js
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 14 ms
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 15 ms
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 7 ms
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 6 ms
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/b7569b7c0652738d.js
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 30 ms
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/a0c06a1b94d50340.js
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 10 ms
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/ab84b860b1e748fb.js
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/fafa00517d6076eb.js
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/34f0c336d63bff1f.js
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 9 ms
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 7 ms
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 8 ms
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 6 ms
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/df420e93f763bfbe.js
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/0ace4bf7854fb867.js
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/1e606a6ebb8bf91c.js
 HTTP  2/23/2026 2:06:26 AM ::1 GET /_next/static/chunks/ca8fb7647ca9f3fc.js
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 13 ms
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 6 ms
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 7 ms
 HTTP  2/23/2026 2:06:26 AM ::1 Returned 200 in 9 ms
 HTTP  2/23/2026 2:06:27 AM ::1 GET /api/babies/
 HTTP  2/23/2026 2:06:27 AM ::1 GET /api/version
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 404 in 7 ms
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 404 in 4 ms
 HTTP  2/23/2026 2:06:27 AM ::1 GET /api/notifications/unread-count
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 404 in 2 ms
 HTTP  2/23/2026 2:06:27 AM ::1 GET /api/notifications
 HTTP  2/23/2026 2:06:27 AM ::1 GET /api/family/members
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 404 in 3 ms
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 404 in 3 ms
 HTTP  2/23/2026 2:06:27 AM ::1 HEAD /contraction
 HTTP  2/23/2026 2:06:27 AM ::1 HEAD /dashboard
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 1 ms
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 4 ms
 HTTP  2/23/2026 2:06:27 AM ::1 GET /contraction/__next._tree.txt?_rsc=18t7j
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 2 ms
 HTTP  2/23/2026 2:06:27 AM ::1 GET /dashboard/__next._tree.txt?_rsc=18t7j
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 1 ms
 HTTP  2/23/2026 2:06:27 AM ::1 GET /contraction/__next._head.txt?_rsc=oh8t4
 HTTP  2/23/2026 2:06:27 AM ::1 GET /contraction/__next._index.txt?_rsc=585va
 HTTP  2/23/2026 2:06:27 AM ::1 GET /contraction/__next.!KGRhc2hib2FyZCk.txt?_rsc=1yeh9
 HTTP  2/23/2026 2:06:27 AM ::1 GET /contraction/__next.!KGRhc2hib2FyZCk.contraction.txt?_rsc=iv8ix
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 6 ms
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 5 ms
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 5 ms
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 3 ms
 HTTP  2/23/2026 2:06:27 AM ::1 GET /contraction/__next.!KGRhc2hib2FyZCk.contraction.__PAGE__.txt?_rsc=1jvdn
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 2 ms
 HTTP  2/23/2026 2:06:27 AM ::1 GET /dashboard/__next._head.txt?_rsc=oh8t4
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 3 ms
 HTTP  2/23/2026 2:06:27 AM ::1 GET /dashboard/__next.!KGRhc2hib2FyZCk.dashboard.txt?_rsc=16sqo
 HTTP  2/23/2026 2:06:27 AM ::1 GET /dashboard/__next.!KGRhc2hib2FyZCk.dashboard.__PAGE__.txt?_rsc=16vtn
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 2 ms
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 1 ms
 HTTP  2/23/2026 2:06:27 AM ::1 GET /_next/static/chunks/30bfd95cda919030.js
 HTTP  2/23/2026 2:06:27 AM ::1 GET /_next/static/chunks/b4e2790475cf8e33.js
 HTTP  2/23/2026 2:06:27 AM ::1 GET /_next/static/chunks/2118a797bf714113.js
 HTTP  2/23/2026 2:06:27 AM ::1 GET /_next/static/chunks/9123087d519d7528.js
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 3 ms
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 3 ms
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 3 ms
 HTTP  2/23/2026 2:06:27 AM ::1 Returned 200 in 8 ms
 HTTP  2/23/2026 2:06:32 AM ::1 GET /api/version
 HTTP  2/23/2026 2:06:32 AM ::1 Returned 404 in 2 ms
 HTTP  2/23/2026 2:06:32 AM ::1 GET /api/notifications/unread-count
 HTTP  2/23/2026 2:06:32 AM ::1 GET /api/notifications
 HTTP  2/23/2026 2:06:32 AM ::1 Returned 404 in 2 ms
 HTTP  2/23/2026 2:06:32 AM ::1 Returned 404 in 2 ms
 HTTP  2/23/2026 2:06:51 AM ::1 GET /dashboard.html
 HTTP  2/23/2026 2:06:51 AM ::1 Returned 301 in 0 ms
 HTTP  2/23/2026 2:06:51 AM ::1 GET /dashboard
 HTTP  2/23/2026 2:06:51 AM ::1 Returned 200 in 1 ms
 HTTP  2/23/2026 2:06:51 AM ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  2/23/2026 2:06:51 AM ::1 Returned 200 in 1 ms
